19ffedc057899de8	1786687259000	naidupetahr@aurobindo.com	Application for Technical Assistant – Production (OSD/Compression) | Balaji Rajput
19ffed2be327d59c	1786686651000	abhishekd.parmar@ipca.com	Application – QA / IPQA Officer | 2+ Years Pharmaceutical QA | IPCA Indore
19ffed242c902076	1786686619000	hr.waluj@indoco.com	Application – OSD Tablet Compression / Production Role | 2+ Years QA-IPQA | Waluj
19ffecf83fc2c9e9	1786686439000	raghuveera.vutla@aizant.com	Application – IPQA Executive | 2+ Years QA/IPQA | Aizant Hyderabad
19ffdaec5bd082b0	1786667516000	hr@unixbiotech.com	Application – Production Officer (Tablet & Capsule Manufacturing) | Immediate Joiner
19ffdad6bdc6700b	1786667428000	career@rivpraformulation.com	Application – Production Executive (Compression / OSD) | 2+ Years Experience
19ff999900c34083	1786599018000	info@sunriseremedies.in	Application – Production OSD Capsule Filling | 2+ Years OSD Experience
19ff947a8aea0d26	1786593650000	hr@kashmik.com	Application for Production Officer – OSD / Tablet Compression | Immediate Joiner
19ff9238bcfbab77	1786591283000	aman.kumar@elysiumpharma.com	Application for Production Officer – Tablet Compression / OSD | Immediate Joiner
19ff9155ce956cf7	1786590354000	hrvirochannagar@torrentpharma.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff914bb926e46d	1786590312000	HR.Tandalja@sunpharma.com, careers@sunpharma.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff91473bd01c51	1786590294000	hrd_matoda@intaspharma.com, careers@intaspharma.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff913dd747a19e	1786590255000	careers@alembic.co.in	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff912a403f59c9	1786590176000	vinayak@lactoseindialimited.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff9125b1d610a3	1786590157000	hr@celogenpharma.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff91144ac3ae55	1786590085000	hr@medozpharmaceuticals.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff90fcc0503f33	1786589989000	hr@skant.com, career@skant.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff90e90864c2d1	1786589909000	recruitment@avenzapharma.com	Résumé attachment – Production Officer / OSD Manufacturing Application
19ff90dd0b93899e	1786589859000	indiacareers@amneal.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dcac53861c	1786589858000	careers@emcure.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dcab214d11	1786589858000	hrd_matoda@intaspharma.com, careers@intaspharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dca7dc6101	1786589858000	hr@elysiumpharma.com	Application for Production Officer – Tablet Compression / OSD | Immediate Joiner
19ff90dc9fc40ecb	1786589858000	hr.gbu@indswiftlabs.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc91fafb21	1786589858000	careers@lincolnpharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc916b0f3d	1786589858000	careers@alembic.co.in	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc8915f12d	1786589858000	hrd@usv.co.in	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc84dfddca	1786589858000	hr1@innoxells.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc83ae2e1d	1786589857000	hr@skant.com, career@skant.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc2da2e1b3	1786589856000	hrvirochannagar@torrentpharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc1f4e29e1	1786589855000	india_production@glenmarkpharma.com	Application for Production Officer / OSD Tablet Compression – Immediate Joiner
19ff90dc1b238d44	1786589856000	HR.Tandalja@sunpharma.com, careers@sunpharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc1a74285f	1786589856000	vinayak@lactoseindialimited.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dc0c03b328	1786589855000	recruitment@avenzapharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dbf41b8c37	1786589855000	hr@celogenpharma.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff90dbe2fe932f	1786589855000	hr@medozpharmaceuticals.com	Application for Production Officer / OSD Manufacturing – Immediate Joiner
19ff9010fb9dca4b	1786589023000	chandanid@amneal.com, jyoti.parmar@amneal.com	Application for Manufacturing Officer – OSD Tablet Compression | Immediate Joiner
19ff8fce785c1c24	1786588751000	paresh.patel@stallionlabs.com	Application for Production – Tablet Compression / OSD | Immediate Joiner
19ff8f1e5b7d8485	1786588029000	hr@darshanpharmaindia.in	Résumé attachment – Application for Production Officer / Executive
19ff8f18433bf8d0	1786588005000	hr@darshanpharmaindia.in	Application for Production Officer / Executive – Immediate Joiner
19ff7167d5e2f96b	1786556873000	balajirajput968@gmail.com	Neuroscience Content Automation Setup Complete
